Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
archer,171,81,76,14,0,0,1.920000,74.400099
guardian,171,0,0,14,76,81,1.300000,70.039156
mage,171,81,76,14,0,0,1.920000,66.133421
warrior,172,82,76,14,0,0,1.920000,50.005970
archer,172,82,76,14,0,0,1.920000,75.008954
guardian,172,0,0,14,76,82,1.300000,70.612324
mage,172,82,76,14,0,0,1.920000,66.674626
warrior,173,82,76,15,0,0,1.920000,50.411490
archer,173,82,76,15,0,0,1.920000,75.617235
guardian,173,0,0,15,76,82,1.300000,71.184950
mage,173,82,76,15,0,0,1.920000,67.215320
warrior,174,82,76,16,0,0,1.920000,50.815805
archer,174,82,76,16,0,0,1.920000,76.223707
guardian,174,0,0,16,76,82,1.300000,71.755874
mage,174,82,76,16,0,0,1.920000,67.754406
warrior,175,83,76,16,0,0,1.920000,51.222750
archer,175,83,76,16,0,0,1.920000,76.834126
guardian,175,0,0,16,76,83,1.300000,72.330513
mage,175,83,76,16,0,0,1.920000,68.297001
warrior,176,83,77,16,0,0,1.920000,51.629914
archer,176,83,77,16,0,0,1.920000,77.444871
guardian,176,0,0,16,77,83,1.300000,72.905460
mage,176,83,77,16,0,0,1.920000,68.839885
warrior,177,83,77,17,0,0,1.920000,52.036175
archer,177,83,77,17,0,0,1.920000,78.054263
guardian,177,0,0,17,77,83,1.300000,73.479133
mage,177,83,77,17,0,0,1.920000,69.381567
warrior,178,84,77,17,0,0,1.920000,52.443995
archer,178,84,77,17,0,0,1.920000,78.665993
guardian,178,0,0,17,77,84,1.300000,74.055007
mage,178,84,77,17,0,0,1.920000,69.925327
warrior,179,84,77,18,0,0,1.920000,52.852064
archer,179,84,77,18,0,0,1.920000,79.278097
guardian,179,0,0,18,77,84,1.300000,74.631232
mage,179,84,77,18,0,0,1.920000,70.469419
warrior,180,84,77,19,0,0,1.920000,53.258683
archer,180,84,77,19,0,0,1.920000,79.888024
guardian,180,0,0,19,77,84,1.300000,75.205408
mage,180,84,77,19,0,0,1.920000,71.011577
warrior,181,85,77,19,0,0,1.920000,53.667196
archer,181,85,77,19,0,0,1.920000,80.500794
guardian,181,0,0,19,77,85,1.300000,75.782261
mage,181,85,77,19,0,0,1.920000,71.556262
warrior,182,85,77,20,0,0,1.920000,54.075398
archer,182,85,77,20,0,0,1.920000,81.113097
guardian,182,0,0,20,77,85,1.300000,76.358674
mage,182,85,77,20,0,0,1.920000,72.100530
warrior,183,85,78,20,0,0,1.920000,54.483584
archer,183,85,78,20,0,0,1.920000,81.725376
guardian,183,0,0,20,78,85,1.300000,76.935065
mage,183,85,78,20,0,0,1.920000,72.644779
warrior,184,86,78,20,0,0,1.920000,54.892620
archer,184,86,78,20,0,0,1.920000,82.338929
guardian,184,0,0,20,78,86,1.300000,77.512655
mage,184,86,78,20,0,0,1.920000,73.190160
warrior,185,86,78,21,0,0,1.920000,55.302265
archer,185,86,78,21,0,0,1.920000,82.953398
