strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
30,33,59,34,11,1.34,warrior,16.271432387212826,1,19
72,7,50,38,0,1.39,warrior,18.489567861398076,1,19
28,5,98,20,16,1.53,warrior,16.712639399393826,1,19
43,5,30,74,15,1.33,warrior,17.737481938138316,1,19
27,28,33,9,70,1.55,warrior,16.33358567586777,1,19
28,35,62,11,31,1.88,warrior,17.952844044346207,1,19
26,29,84,25,3,1.54,warrior,16.08829273062627,1,19
66,27,42,29,3,2.0,warrior,20.302660378710417,1,19
26,1,65,72,3,1.99,warrior,16.708475654282417,1,19
19,103,0,36,9,1.44,warrior,13.917685452327028,1,19
54,4,65,39,5,1.63,warrior,19.623101648439803,1,19
21,59,9,67,11,1.6,warrior,14.344086241073258,1,19
23,78,10,12,44,1.39,warrior,15.20265331196585,1,19
99,2,11,7,48,1.6,warrior,10.045020434497916,1,19
5,28,5,81,48,1.37,warrior,8.034236125156124,1,19
5,16,69,67,10,1.43,warrior,7.688623780514554,1,19
1,57,31,4,74,1.47,warrior,5.663303592402622,1,19
1,15,73,6,72,1.54,warrior,5.974671510053556,1,19
52,23,53,34,5,1.63,warrior,19.6271504747545,1,20
37,3,30,21,76,2.0,warrior,19.424092829778488,1,20
48,39,12,32,36,1.35,warrior,18.981578477177422,1,20
33,1,95,33,5,1.68,warrior,17.621866631484693,1,20
103,10,0,54,0,1.88,warrior,10.130602167774027,1,20
31,26,66,12,32,1.39,warrior,17.528680792284156,1,20
23,2,54,80,8,1.53,warrior,15.18874954517334,1,20
19,4,82,50,12,1.33,warrior,13.30197626099723,1,20
70,1,44,49,3,1.55,warrior,18.617958140409335,1,20
27,28,33,9,70,1.78,warrior,16.796305060658824,1,20
21,21,41,83,1,1.54,warrior,14.482813716627776,1,20
20,22,93,25,7,1.34,warrior,13.723399094793999,1,20
21,70,9,56,11,1.6,warrior,14.344086241073258,1,20
25,67,11,13,51,1.85,warrior,16.677375216656298,1,20
23,78,1,7,58,1.6,warrior,14.98228622144342,1,20
105,1,12,41,8,1.44,warrior,8.322871589364302,1,20
3,85,38,36,5,1.43,warrior,6.681286998645655,1,20
3,10,66,55,33,1.37,warrior,7.11578956276139,1,20
1,16,73,4,73,1.47,warrior,5.663303592402622,1,20
0,37,21,5,104,1.54,warrior,5.478471311487655,1,20
52,23,53,34,5,1.5,warrior,20.579872141277875,1,21
24,2,79,13,49,1.63,warrior,15.248856870781676,1,21
40,87,9,27,4,1.55,warrior,19.146895618154698,1,21
50,21,31,37,28,1.35,warrior,19.04916652101798,1,21
34,1,65,36,31,1.39,warrior,18.22953788083794,1,21
25,33,77,28,4,1.68,warrior,15.59557963983642,1,21
19,19,86,9,34,1.85,warrior,14.235727548948681,1,21
8,67,11,10,71,1.78,warrior,9.098788997475491,1,21
23,78,1,6,59,1.6,warrior,14.98228622144342,1,21
16,53,38,55,5,1.67,warrior,12.592704720660993,1,21
20,20,39,87,1,1.6,warrior,14.011589351391319,1,21
25,87,11,29,15,1.54,warrior,15.786480736288627,1,21
15,15,65,35,37,1.33,warrior,12.104732875651823,1,21
19,4,81,24,39,1.34,warrior,13.422682165676411,1,21
77,7,9,31,43,1.44,warrior,17.91153227336738,1,21
109,2,0,56,0,1.68,warrior,6.20976891274651,1,21
1,7,43,95,21,1.43,warrior,5.649384014021126,1,21
3,85,38,36,5,1.79,warrior,6.499749866652165,1,21
1,22,94,5,45,1.54,warrior,5.974671510053556,1,21
78,19,11,4,55,1.47,warrior,17.6076280762449,1,21
52,23,53,34,5,1.53,warrior,20.298419196547506,1,22
30,66,7,60,4,1.5,warrior,17.414129175721122,1,22
26,11,34,19,77,1.39,warrior,16.150557009569688,1,22
87,0,26,31,23,1.35,warrior,13.550224536581638,1,22
65,44,9,4,45,1.47,warrior,20.087998378645263,1,22
105,4,7,22,29,1.44,warrior,8.322871589364302,1,22
11,42,35,12,67,1.68,warrior,10.64260452505065,1,22
93,27,9,24,14,1.54,warrior,12.524816566204356,1,22
21,1,68,28,49,1.6,warrior,14.344086241073258,1,22
28,63,1,15,60,1.63,warrior,16.363891652717,1,22
19,20,39,87,2,1.58,warrior,13.698151259881229,1,22
15,17,72,36,27,1.85,warrior,12.399876274854439,1,22
26,5,110,19,7,1.67,warrior,15.857494377777895,1,22
13,45,31,46,32,1.58,warrior,11.447125367571488,1,22
75,9,37,6,40,1.78,warrior,18.585410797316037,1,22
8,42,6,88,23,1.33,warrior,9.749287294262558,1,22
3,44,19,30,71,1.68,warrior,7.146237744752899,1,22
61,83,0,19,4,1.79,warrior,20.969859125415738,1,22
0,20,83,24,40,1.43,warrior,5.124771052287802,1,22
0,4,82,66,15,1.54,warrior,5.478471311487655,1,22
