strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
56,45,34,29,34,1.4,warrior,33.665400087771644,1
55,43,33,33,34,1.41,warrior,32.940593325734454,1
59,46,37,25,31,1.41,warrior,35.335224655554256,1
50,41,45,29,33,1.4,warrior,32.74131099615096,1
59,46,37,25,31,1.41,warrior,35.335224655554256,2
56,44,34,29,35,1.41,warrior,33.68186709857993,3
56,45,34,29,34,1.4,warrior,33.665400087771644,2
55,45,35,31,32,1.4,warrior,33.44403664985717,3
56,44,36,34,28,1.4,warrior,33.30566242992775,6
54,43,35,30,36,1.41,warrior,33.15001546530412,4
55,45,34,34,30,1.4,warrior,33.094197976266194,4
54,45,36,34,29,1.4,warrior,33.06742543733908,3
54,43,34,30,37,1.41,warrior,33.02438289548924,5
55,43,36,34,30,1.4,warrior,32.97185621483981,5
55,43,33,33,34,1.41,warrior,32.940593325734454,2
55,41,34,30,38,1.41,warrior,32.86510429457722,4
50,41,45,29,33,1.4,warrior,32.74131099615096,2
53,43,34,32,36,1.41,warrior,32.711360969037,3
52,46,35,34,31,1.4,warrior,32.71071141664256,4
53,42,34,31,38,1.41,warrior,32.592323018408266,7
64,41,32,27,34,1.41,warrior,34.349454163325596,1
57,46,38,25,32,1.41,warrior,35.00164505445078,1
56,45,34,29,34,1.4,warrior,33.665400087771644,1
55,45,35,31,32,1.4,warrior,33.44403664985717,1
59,46,37,25,31,1.41,warrior,35.335224655554256,3
57,46,38,25,32,1.41,warrior,35.00164505445078,2
64,41,32,27,34,1.41,warrior,34.349454163325596,2
56,44,34,29,35,1.41,warrior,33.68186709857993,4
56,45,34,29,34,1.4,warrior,33.665400087771644,3
56,45,34,29,34,1.4,warrior,33.665400087771644,2
55,45,35,31,32,1.4,warrior,33.44403664985717,4
55,45,35,31,32,1.4,warrior,33.44403664985717,2
56,44,36,34,28,1.4,warrior,33.30566242992775,7
54,43,35,30,36,1.41,warrior,33.15001546530412,5
55,45,34,34,30,1.4,warrior,33.094197976266194,5
54,45,36,34,29,1.4,warrior,33.06742543733908,4
54,43,34,30,37,1.41,warrior,33.02438289548924,6
55,43,36,34,30,1.4,warrior,32.97185621483981,6
55,43,33,33,34,1.41,warrior,32.940593325734454,3
55,41,34,30,38,1.41,warrior,32.86510429457722,5
59,45,37,25,32,1.41,warrior,35.13363193061615,1
58,46,38,25,31,1.41,warrior,35.23551371695647,1
63,39,33,29,34,1.41,warrior,33.77155413055751,1
57,46,32,29,34,1.41,warrior,33.99744725807371,1
59,46,37,25,31,1.41,warrior,35.335224655554256,4
58,46,38,25,31,1.41,warrior,35.23551371695647,2
59,45,37,25,32,1.41,warrior,35.13363193061615,2
57,46,38,25,32,1.41,warrior,35.00164505445078,3
64,41,32,27,34,1.41,warrior,34.349454163325596,3
57,46,32,29,34,1.41,warrior,33.99744725807371,2
63,39,33,29,34,1.41,warrior,33.77155413055751,2
56,44,34,29,35,1.41,warrior,33.68186709857993,5
56,45,34,29,34,1.4,warrior,33.665400087771644,4
56,45,34,29,34,1.4,warrior,33.665400087771644,3
55,45,35,31,32,1.4,warrior,33.44403664985717,5
55,45,35,31,32,1.4,warrior,33.44403664985717,3
56,44,36,34,28,1.4,warrior,33.30566242992775,8
54,43,35,30,36,1.41,warrior,33.15001546530412,6
55,45,34,34,30,1.4,warrior,33.094197976266194,6
