strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
2,145,50,1,0,1.74,1.9929141506081869,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
105,92,0,0,1,1.74,48.217708603658274,10000,18
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
90,80,28,0,0,1.92,60.62109667083437,10000,19
104,92,1,0,1,1.92,58.209886347147005,10000,19
104,93,0,0,1,1.92,58.1043227419311,10000,19
89,79,27,3,0,1.92,59.3917554415236,10000,19
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
94,96,8,0,0,1.96,57.824430247228044,178,20
