strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,2
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,7
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,5
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,10
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,4
84,63,51,0,0,1.88,warrior,58.13334186715585,10
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,3
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,9
84,63,50,0,1,1.88,warrior,57.89903809946351,6
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,8
84,63,51,0,0,1.871787685083257,warrior,57.76506102983756,3
84,62,51,0,1,1.88,warrior,57.74643110463118,11
84,62,51,0,1,1.88,warrior,57.74643110463118,9
83,63,50,1,1,1.8958856334780756,warrior,57.975511558081294,1
122,0,74,2,0,1.8958856334780756,warrior,32.27666091154293,1
112,85,0,1,0,1.8958856334780756,warrior,56.83126694481381,1
122,0,74,2,0,1.8958856334780756,warrior,32.27666091154293,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,7
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,6
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,5
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,3
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,8
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,6
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,11
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,5
84,63,51,0,0,1.88,warrior,58.13334186715585,11
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,4
83,63,50,1,1,1.8958856334780756,warrior,57.975511558081294,2
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,10
84,63,50,0,1,1.88,warrior,57.89903809946351,7
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,9
84,63,51,0,0,1.871787685083257,warrior,57.76506102983756,4
84,62,51,0,1,1.88,warrior,57.74643110463118,12
84,63,51,0,0,1.4248285471271414,warrior,50.5251482863681,1
122,0,74,1,1,1.8958856334780756,warrior,32.40108544582487,1
83,64,51,0,0,1.8958856334780756,warrior,58.68321440916509,1
84,63,51,0,0,1.8103896980001957,warrior,53.8027064415135,1
83,64,51,0,0,1.8958856334780756,warrior,58.68321440916509,2
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,8
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,7
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,6
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,4
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,9
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,7
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,12
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,6
84,63,51,0,0,1.88,warrior,58.13334186715585,12
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,5
83,63,50,1,1,1.8958856334780756,warrior,57.975511558081294,3
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,11
84,63,50,0,1,1.88,warrior,57.89903809946351,8
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,10
84,63,51,0,0,1.871787685083257,warrior,57.76506102983756,5
